driverId,forename,surname,nationality,dob,max_lap_times,avg_lap_times,min_lap_times
37,Pedro,de la Rosa,Spanish,1971-02-24,"['{""1999"": 258071}', '{""2000"": 221998}', '{""2001"": 229381}', '{""2002"": 384897}', '{""2005"": 117769}', '{""2006"": 152955}', '{""2010"": 176368}', '{""2011"": 7503795}', '{""2012"": 3134037}']","['{""1999"": 96832.27718223583}', '{""2000"": 92763.26}', '{""2001"": 84497.83937823834}', '{""2002"": 91406.234870317}', '{""2005"": 95149.45614035087}', '{""2006"": 90652.85964912281}', '{""2010"": 96822.90502793297}', '{""2011"": 210616.34285714285}', '{""2012"": 107710.83297413793}']","['{""1999"": 74914}', '{""2000"": 73490}', '{""2001"": 73978}', '{""2002"": 75498}', '{""2005"": 91447}', '{""2006"": 73817}', '{""2010"": 76527}', '{""2011"": 80369}', '{""2012"": 81085}']"
38,Robert,Doornbos,Dutch,1981-09-23,"['{""2005"": 211930}', '{""2006"": 134478}']","['{""2005"": 97307.10106382979}', '{""2006"": 93436.72881355933}']","['{""2005"": 75792}', '{""2006"": 73700}']"
39,Narain,Karthikeyan,Indian,1977-01-14,"['{""2005"": 197294}', '{""2011"": 7493691}', '{""2012"": 3135529}']","['{""2005"": 90837.61936193619}', '{""2011"": 120924.32648401827}', '{""2012"": 105485.15830546265}']","['{""2005"": 73370}', '{""2011"": 82731}', '{""2012"": 80286}']"
40,Patrick,Friesacher,Austrian,1980-09-26,"['{""2005"": 391146}']","['{""2005"": 90529.8640776699}']","['{""2005"": 74490}']"
41,Ricardo,Zonta,Brazilian,1976-03-23,"['{""1999"": 232416}', '{""2000"": 217940}', '{""2001"": 152927}', '{""2004"": 211158}']","['{""1999"": 96642.98207171315}', '{""2000"": 92392.64136413642}', '{""2001"": 86830.56}', '{""2004"": 92593.18695652173}']","['{""1999"": 74063}', '{""2000"": 72855}', '{""2001"": 80078}', '{""2004"": 72961}']"
42,Antônio,Pizzonia,Brazilian,1980-09-11,"['{""2003"": 183152}', '{""2004"": 212722}', '{""2005"": 210447}']","['{""2003"": 89812.45435684647}', '{""2004"": 87284.3607305936}', '{""2005"": 106424.46153846153}']","['{""2003"": 69978}', '{""2004"": 74586}', '{""2005"": 82870}']"
43,Cristiano,da Matta,Brazilian,1973-09-19,"['{""2003"": 196623}', '{""2004"": 168379}']","['{""2003"": 87146.70067264573}', '{""2004"": 86465.80236486487}']","['{""2003"": 70466}', '{""2004"": 72872}']"
44,Olivier,Panis,French,1966-09-02,"['{""1996"": 184562}', '{""1997"": 161748}', '{""1998"": 484875}', '{""1999"": 193764}', '{""2001"": 1169677}', '{""2002"": 509444}', '{""2003"": 170462}', '{""2004"": 189782}']","['{""1996"": 94060.09327846365}', '{""1997"": 91475.06989247311}', '{""1998"": 92644.77077747989}', '{""1999"": 92899.39641943734}', '{""2001"": 91314.96045918367}', '{""2002"": 87623.73457675753}', '{""2003"": 88215.38929088278}', '{""2004"": 89702.49557522124}']","['{""1996"": 78712}', '{""1997"": 79094}', '{""1998"": 79953}', '{""1999"": 73465}', '{""2001"": 72204}', '{""2002"": 72594}', '{""2003"": 73097}', '{""2004"": 70933}']"
45,Giorgio,Pantano,Italian,1979-02-04,"['{""2004"": 150641}']","['{""2004"": 89550.81238615664}']","['{""2004"": 76058}']"
46,Gianmaria,Bruni,Italian,1981-05-30,"['{""2004"": 1150467}']","['{""2004"": 93113.38179347826}']","['{""2004"": 74756}']"
47,Zsolt,Baumgartner,Hungarian,1981-01-01,"['{""2003"": 114932}', '{""2004"": 202275}']","['{""2003"": 88714.15294117646}', '{""2004"": 91586.39016018307}']","['{""2003"": 85549}', '{""2004"": 74097}']"
48,Marc,Gené,Spanish,1974-03-29,"['{""1999"": 144129}', '{""2000"": 270954}', '{""2003"": 110694}', '{""2004"": 139509}']","['{""1999"": 94847.66713483146}', '{""2000"": 92761.82325029655}', '{""2003"": 84674.1320754717}', '{""2004"": 81486.93846153846}']","['{""1999"": 74517}', '{""2000"": 73626}', '{""2003"": 82413}', '{""2004"": 76070}']"
49,Heinz-Harald,Frentzen,German,1967-05-18,"['{""1996"": 192374}', '{""1997"": 221701}', '{""1998"": 205612}', '{""1999"": 156109}', '{""2000"": 214757}', '{""2001"": 199160}', '{""2002"": 451291}', '{""2003"": 171318}']","['{""1996"": 96183.935302391}', '{""1997"": 89922.71358024691}', '{""1998"": 93240.43401015228}', '{""1999"": 92499.25027322404}', '{""2000"": 89976.2804698972}', '{""2001"": 90828.19054242002}', '{""2002"": 88387.03345070423}', '{""2003"": 90580.44131455399}']","['{""1996"": 81273}', '{""1997"": 72223}', '{""1998"": 75446}', '{""1999"": 73176}', '{""2000"": 75192}', '{""2001"": 75296}', '{""2002"": 71201}', '{""2003"": 73338}']"
50,Jos,Verstappen,Dutch,1972-03-04,"['{""1996"": 192588}', '{""1997"": 238680}', '{""1998"": 188102}', '{""2000"": 381969}', '{""2001"": 198876}', '{""2003"": 256166}']","['{""1996"": 96841.28333333334}', '{""1997"": 93549.39692701664}', '{""1998"": 90944.53727506427}', '{""2000"": 94054.2892086331}', '{""2001"": 90542.73565804274}', '{""2003"": 92252.38379814077}']","['{""1996"": 81461}', '{""1997"": 73708}', '{""1998"": 75610}', '{""2000"": 74227}', '{""2001"": 72423}', '{""2003"": 75257}']"
51,Justin,Wilson,British,1978-07-31,"['{""2003"": 423979}']","['{""2003"": 89954.63880597014}']","['{""2003"": 71267}']"
52,Ralph,Firman,Irish,1975-05-20,"['{""2003"": 220057}']","['{""2003"": 89165.95618153365}']","['{""2003"": 70659}']"
53,Nicolas,Kiesa,Danish,1978-03-03,"['{""2003"": 146651}']","['{""2003"": 89416.62080536912}']","['{""2003"": 74737}']"
54,Luciano,Burti,Brazilian,1975-03-05,"['{""2000"": 111322}', '{""2001"": 253261}']","['{""2000"": 76979.07246376811}', '{""2001"": 89910.816360601}']","['{""2000"": 74098}', '{""2001"": 72642}']"
55,Jean,Alesi,French,1964-06-11,"['{""1996"": 198845}', '{""1997"": 216242}', '{""1998"": 212399}', '{""1999"": 143015}', '{""2000"": 337100}', '{""2001"": 197446}']","['{""1996"": 94100.64742014742}', '{""1997"": 90660.19535374868}', '{""1998"": 93410.44121071012}', '{""1999"": 94106.12347560975}', '{""2000"": 94285.26315789473}', '{""2001"": 89594.46845915202}']","['{""1996"": 79378}', '{""1997"": 72953}', '{""1998"": 74791}', '{""1999"": 73228}', '{""2000"": 74039}', '{""2001"": 73130}']"
56,Eddie,Irvine,British,1965-11-10,"['{""1996"": 260908}', '{""1997"": 234283}', '{""1998"": 189476}', '{""1999"": 158260}', '{""2000"": 261594}', '{""2001"": 160334}', '{""2002"": 165451}']","['{""1996"": 97197.06608695652}', '{""1997"": 91974.56625}', '{""1998"": 91257.68309070548}', '{""1999"": 92355.60528992879}', '{""2000"": 92829.50062578222}', '{""2001"": 85796.20060790273}', '{""2002"": 89119.18282208589}']","['{""1996"": 81824}', '{""1997"": 72704}', '{""1998"": 74066}', '{""1999"": 72787}', '{""2000"": 75675}', '{""2001"": 72088}', '{""2002"": 72602}']"
57,Mika,Häkkinen,Finnish,1968-09-28,"['{""1996"": 199036}', '{""1997"": 223316}', '{""1998"": 174054}', '{""1999"": 169179}', '{""2000"": 209931}', '{""2001"": 446036}']","['{""1996"": 94245.86222222222}', '{""1997"": 92424.20473537604}', '{""1998"": 88766.85397196261}', '{""1999"": 91802.73411764707}', '{""2000"": 91033.94597457627}', '{""2001"": 90730.13788098693}']","['{""1996"": 79632}', '{""1997"": 78649}', '{""1998"": 73412}', '{""1999"": 72107}', '{""2000"": 71837}', '{""2001"": 74481}']"
58,Tarso,Marques,Brazilian,1976-01-19,"['{""1996"": 193130}', '{""1997"": 238649}', '{""2001"": 368912}']","['{""1996"": 101247.90909090909}', '{""1997"": 94766.20249221184}', '{""2001"": 94048.44117647059}']","['{""1996"": 92925}', '{""1997"": 81874}', '{""2001"": 75212}']"
59,Enrique,Bernoldi,Brazilian,1978-10-19,"['{""2001"": 135744}', '{""2002"": 1174484}']","['{""2001"": 91260.20950704225}', '{""2002"": 94636.82037533513}']","['{""2001"": 73587}', '{""2002"": 78814}']"
60,Gastón,Mazzacane,Argentine,1975-05-08,"['{""2000"": 224570}', '{""2001"": 203982}']","['{""2000"": 94221.41337719298}', '{""2001"": 101335.42222222222}']","['{""2000"": 73733}', '{""2001"": 78176}']"
61,Tomáš,Enge,Czech,1976-09-11,"['{""2001"": 188867}']","['{""2001"": 89210.22891566265}']","['{""2001"": 76155}']"
62,Alex,Yoong,Malaysian,1976-07-20,"['{""2001"": 173435}', '{""2002"": 510556}']","['{""2001"": 95212.53787878787}', '{""2002"": 90391.36647173489}']","['{""2001"": 77079}', '{""2002"": 74441}']"
63,Mika,Salo,Finnish,1966-11-30,"['{""1996"": 941618}', '{""1997"": 421524}', '{""1998"": 143597}', '{""1999"": 142018}', '{""2000"": 222454}', '{""2002"": 323440}']","['{""1996"": 97448.45165945166}', '{""1997"": 93732.64119601328}', '{""1998"": 92237.5}', '{""1999"": 92248.14897959183}', '{""2000"": 93050.64908256881}', '{""2002"": 88717.25432900432}']","['{""1996"": 80710}', '{""1997"": 73862}', '{""1998"": 81502}', '{""1999"": 73481}', '{""2000"": 73674}', '{""2002"": 71591}']"
64,Pedro,Diniz,Brazilian,1970-05-22,"['{""1996"": 190120}', '{""1997"": 316508}', '{""1998"": 382273}', '{""1999"": 279926}', '{""2000"": 222133}']","['{""1996"": 96895.15156507413}', '{""1997"": 91981.91207153503}', '{""1998"": 95763.25260960334}', '{""1999"": 92320.0291970803}', '{""2000"": 92226.09009009009}']","['{""1996"": 80997}', '{""1997"": 73074}', '{""1998"": 81765}', '{""1999"": 73093}', '{""2000"": 72955}']"
65,Johnny,Herbert,British,1964-06-25,"['{""1996"": 258683}', '{""1997"": 227132}', '{""1998"": 138152}', '{""1999"": 377189}', '{""2000"": 258026}']","['{""1996"": 93902.20111731843}', '{""1997"": 89109.09408926417}', '{""1998"": 89695.5125}', '{""1999"": 93462.68233618233}', '{""2000"": 91052.90297542044}']","['{""1996"": 81262}', '{""1997"": 72574}', '{""1998"": 74639}', '{""1999"": 72641}', '{""2000"": 73613}']"
66,Allan,McNish,British,1969-12-29,"['{""2002"": 195442}']","['{""2002"": 87315.03286384976}']","['{""2002"": 71456}']"
67,Sébastien,Buemi,Swiss,1988-10-31,"['{""2009"": 190176}', '{""2010"": 2935792}', '{""2011"": 7494505}']","['{""2009"": 98923.22072678331}', '{""2010"": 102946.7432735426}', '{""2011"": 108222.47351694915}']","['{""2009"": 74563}', '{""2010"": 75935}', '{""2011"": 77428}']"
68,Toranosuke,Takagi,Japanese,1974-02-12,"['{""1998"": 187326}', '{""1999"": 266557}']","['{""1998"": 94173.26747720364}', '{""1999"": 95161.5762987013}']","['{""1998"": 80299}', '{""1999"": 75361}']"
69,Luca,Badoer,Italian,1971-01-25,"['{""1996"": 291438}', '{""1999"": 151731}', '{""2009"": 174705}']","['{""1996"": 97579.58657243816}', '{""1999"": 96557.48406676784}', '{""2009"": 109664.45}']","['{""1996"": 82258}', '{""1999"": 74622}', '{""2009"": 100590}']"
70,Alessandro,Zanardi,Italian,1966-10-23,"['{""1999"": 152843}']","['{""1999"": 94160.7264957265}']","['{""1999"": 74381}']"
71,Damon,Hill,British,1960-09-17,"['{""1996"": 204845}', '{""1997"": 224678}', '{""1998"": 290527}', '{""1999"": 253789}']","['{""1996"": 93084.44946492271}', '{""1997"": 90561.21003963012}', '{""1998"": 92884.75174825174}', '{""1999"": 92338.58541266795}']","['{""1996"": 78938}', '{""1997"": 72903}', '{""1998"": 74135}', '{""1999"": 73960}']"
72,Stéphane,Sarrazin,French,1975-11-02,"['{""1999"": 95323}']","['{""1999"": 82907.90322580645}']","['{""1999"": 81225}']"
73,Ricardo,Rosset,Brazilian,1968-07-27,"['{""1996"": 181928}', '{""1998"": 213827}']","['{""1996"": 96880.35830618892}', '{""1998"": 91941.09523809524}']","['{""1996"": 82095}', '{""1998"": 76100}']"
74,Esteban,Tuero,Argentine,1978-04-22,"['{""1998"": 794653}']","['{""1998"": 96730.44208809135}']","['{""1998"": 75769}']"
75,Shinji,Nakano,Japanese,1971-04-01,"['{""1997"": 233291}', '{""1998"": 957277}']","['{""1997"": 91638.4742698192}', '{""1998"": 95855.92764857881}']","['{""1997"": 73010}', '{""1998"": 75575}']"
76,Jan,Magnussen,Danish,1973-07-04,"['{""1997"": 234777}', '{""1998"": 134746}']","['{""1997"": 95654.63032367972}', '{""1998"": 88719.11284046693}']","['{""1997"": 72605}', '{""1998"": 80991}']"
77,Gerhard,Berger,Austrian,1959-08-27,"['{""1996"": 198759}', '{""1997"": 231414}']","['{""1996"": 94992.86434108527}', '{""1997"": 92686.63118811882}']","['{""1996"": 79206}', '{""1997"": 72624}']"
78,Nicola,Larini,Italian,1964-03-19,"['{""1997"": 271389}']","['{""1997"": 94104.28880866426}']","['{""1997"": 78730}']"
79,Ukyo,Katayama,Japanese,1963-05-29,"['{""1996"": 206980}', '{""1997"": 262641}']","['{""1996"": 96102.42857142857}', '{""1997"": 94908.25628930818}']","['{""1996"": 80989}', '{""1997"": 74394}']"
81,Gianni,Morbidelli,Italian,1968-01-13,"['{""1997"": 229672}']","['{""1997"": 89921.91267605634}']","['{""1997"": 72826}']"
82,Norberto,Fontana,Argentine,1975-01-20,"['{""1997"": 148104}']","['{""1997"": 93580.45238095238}']","['{""1997"": 79849}']"
83,Pedro,Lamy,Portuguese,1972-03-20,"['{""1996"": 266095}']","['{""1996"": 98066.79566563468}']","['{""1996"": 82842}']"
84,Martin,Brundle,British,1959-06-01,"['{""1996"": 213708}']","['{""1996"": 95444.02695035462}']","['{""1996"": 80414}']"
85,Andrea,Montermini,Italian,1964-05-30,"['{""1996"": 207703}']","['{""1996"": 99919.84033613445}']","['{""1996"": 84621}']"
86,Giovanni,Lavaggi,Italian,1958-02-18,"['{""1996"": 115325}']","['{""1996"": 90779.28057553957}']","['{""1996"": 85626}']"
153,Jaime,Alguersuari,Spanish,1990-03-23,"['{""2009"": 158004}', '{""2010"": 2935531}', '{""2011"": 7500160}']","['{""2009"": 95304.06600660065}', '{""2010"": 102969.01148325359}', '{""2011"": 106436.77690029614}']","['{""2009"": 74861}', '{""2010"": 75695}', '{""2011"": 77162}']"
154,Romain,Grosjean,French,1986-04-17,"['{""2009"": 170409}', '{""2012"": 167796}', '{""2013"": 1526915}', '{""2014"": 3670560}', '{""2015"": 174693}', '{""2016"": 1241349}', '{""2017"": 1465701}', '{""2018"": 185940}', '{""2019"": 182277}', '{""2020"": 1681001}']","['{""2009"": 94999.82638888889}', '{""2012"": 98661.9402241594}', '{""2013"": 101362.28764278298}', '{""2014"": 104962.79013641133}', '{""2015"": 97439.54725787631}', '{""2016"": 98754.7718446602}', '{""2017"": 96862.84281581485}', '{""2018"": 93315.35474860335}', '{""2019"": 92962.82837967401}', '{""2020"": 97478.75}']","['{""2009"": 74789}', '{""2012"": 77264}', '{""2013"": 77607}', '{""2014"": 73953}', '{""2015"": 72881}', '{""2016"": 69925}', '{""2017"": 68590}', '{""2018"": 69071}', '{""2019"": 68987}', '{""2020"": 68047}']"
155,Kamui,Kobayashi,Japanese,1986-09-13,"['{""2009"": 131133}', '{""2010"": 2937181}', '{""2011"": 7506095}', '{""2012"": 3132679}', '{""2014"": 3698698}']","['{""2009"": 89509.22222222222}', '{""2010"": 103581.11388888888}', '{""2011"": 109241.37288135593}', '{""2012"": 103175.84276126558}', '{""2014"": 107195.27669172932}']","['{""2009"": 74676}', '{""2010"": 74748}', '{""2011"": 77644}', '{""2012"": 77464}', '{""2014"": 75274}']"
842,Pierre,Gasly,French,1996-02-07,"['{""2017"": 144010}', '{""2018"": 186705}', '{""2019"": 181543}', '{""2020"": 1682826}', '{""2021"": 2240925}', '{""2022"": 3191710}']","['{""2017"": 92481.81395348837}', '{""2018"": 93535.00581395348}', '{""2019"": 92980.03889789303}', '{""2020"": 94218.76967592593}', '{""2021"": 98978.33037300178}', '{""2022"": 98862.96685529508}']","['{""2017"": 73323}', '{""2018"": 69295}', '{""2019"": 68790}', '{""2020"": 57220}', '{""2021"": 68146}', '{""2022"": 70104}']"
807,Nico,Hülkenberg,German,1987-08-19,"['{""2010"": 2936632}', '{""2012"": 3134832}', '{""2013"": 1524068}', '{""2014"": 3694017}', '{""2015"": 158865}', '{""2016"": 2123869}', '{""2017"": 1471745}', '{""2018"": 187393}', '{""2019"": 179244}', '{""2020"": 137412}', '{""2022"": 158081}']","['{""2010"": 103773.13882863341}', '{""2012"": 101186.46511627907}', '{""2013"": 100734.66602502407}', '{""2014"": 102852.2119460501}', '{""2015"": 94085.1076581576}', '{""2016"": 101749.80710172745}', '{""2017"": 96906.0246659815}', '{""2018"": 93306.27777777778}', '{""2019"": 92980.45600676819}', '{""2020"": 94823.04464285714}', '{""2022"": 103443.43925233645}']","['{""2010"": 74985}', '{""2012"": 77202}', '{""2013"": 76802}', '{""2014"": 73156}', '{""2015"": 72541}', '{""2016"": 70309}', '{""2017"": 69043}', '{""2018"": 70380}', '{""2019"": 69248}', '{""2020"": 90087}', '{""2022"": 93651}']"
808,Vitaly,Petrov,Russian,1984-09-08,"['{""2010"": 2928102}', '{""2011"": 7506243}', '{""2012"": 3132785}']","['{""2010"": 101534.98614072494}', '{""2011"": 107218.44936086528}', '{""2012"": 104645.06370656371}']","['{""2010"": 75485}', '{""2011"": 77011}', '{""2012"": 78093}']"
810,Lucas,di Grassi,Brazilian,1984-08-11,"['{""2010"": 2926046}']","['{""2010"": 108922.46866840731}']","['{""2010"": 76767}']"
811,Bruno,Senna,Brazilian,1983-10-15,"['{""2010"": 2920458}', '{""2011"": 171531}', '{""2012"": 3132207}']","['{""2010"": 108523.41833810888}', '{""2011"": 103100.37387387388}', '{""2012"": 103420.51043643264}']","['{""2010"": 77731}', '{""2011"": 78274}', '{""2012"": 77817}']"
812,Karun,Chandhok,Indian,1984-01-19,"['{""2010"": 173558}', '{""2011"": 144536}']","['{""2010"": 101282.52410901467}', '{""2011"": 105481.08928571429}']","['{""2010"": 79553}', '{""2011"": 100435}']"
813,Pastor,Maldonado,Venezuelan,1985-03-09,"['{""2011"": 7493927}', '{""2012"": 3132375}', '{""2013"": 164294}', '{""2014"": 3677567}', '{""2015"": 215871}']","['{""2011"": 111596.38857782754}', '{""2012"": 103311.87486744432}', '{""2013"": 99633.24521072797}', '{""2014"": 105069.98468786808}', '{""2015"": 97745.82904884318}']","['{""2011"": 78904}', '{""2012"": 77489}', '{""2013"": 77554}', '{""2014"": 73187}', '{""2015"": 71785}']"
814,Paul,di Resta,British,1986-04-16,"['{""2011"": 7503980}', '{""2012"": 3132966}', '{""2013"": 1523136}', '{""2017"": 132485}']","['{""2011"": 108011.10859728507}', '{""2012"": 101970.75197889181}', '{""2013"": 99575.47352342159}', '{""2017"": 88969.98333333334}']","['{""2011"": 77452}', '{""2012"": 77219}', '{""2013"": 76855}', '{""2017"": 83242}']"
815,Sergio,Pérez,Mexican,1990-01-26,"['{""2011"": 196805}', '{""2012"": 3138842}', '{""2013"": 1521293}', '{""2014"": 3702636}', '{""2015"": 166453}', '{""2016"": 2123365}', '{""2017"": 1703939}', '{""2018"": 188639}', '{""2019"": 178963}', '{""2020"": 1681313}', '{""2021"": 2252336}', '{""2022"": 3186869}']","['{""2011"": 100731.78492239468}', '{""2012"": 102710.30504833513}', '{""2013"": 99916.17025089606}', '{""2014"": 103845.09630459126}', '{""2015"": 98272.9394479074}', '{""2016"": 102286.07301587301}', '{""2017"": 95740.99914821124}', '{""2018"": 94048.0668896321}', '{""2019"": 92582.89136013687}', '{""2020"": 94580.18657565415}', '{""2021"": 94892.62141652613}', '{""2022"": 99826.36348267118}']","['{""2011"": 77780}', '{""2012"": 76414}', '{""2013"": 76246}', '{""2014"": 72142}', '{""2015"": 72377}', '{""2016"": 70120}', '{""2017"": 68470}', '{""2018"": 68504}', '{""2019"": 69061}', '{""2020"": 56789}', '{""2021"": 67894}', '{""2022"": 71843}']"
816,Jérôme,d'Ambrosio,Belgian,1985-12-27,"['{""2011"": 7469869}', '{""2012"": 108703}']","['{""2011"": 111973.8303030303}', '{""2012"": 91643.05660377358}']","['{""2011"": 79902}', '{""2012"": 88677}']"
817,Daniel,Ricciardo,Australian,1989-07-01,"['{""2011"": 1098880}', '{""2012"": 3133863}', '{""2013"": 1526629}', '{""2014"": 3692106}', '{""2015"": 182566}', '{""2016"": 2121562}', '{""2017"": 1473517}', '{""2018"": 524604}', '{""2019"": 198117}', '{""2020"": 1681241}', '{""2021"": 2231723}', '{""2022"": 3198000}']","['{""2011"": 106259.92844364938}', '{""2012"": 102254.54382978723}', '{""2013"": 99688.5590778098}', '{""2014"": 102773.41567912488}', '{""2015"": 97161.275}', '{""2016"": 101457.8729281768}', '{""2017"": 96295.50442477876}', '{""2018"": 92463.85299806576}', '{""2019"": 92436.4}', '{""2020"": 96597.5617977528}', '{""2021"": 97807.61089187056}', '{""2022"": 99797.73974895397}']","['{""2011"": 79649}', '{""2012"": 76609}', '{""2013"": 76974}', '{""2014"": 73060}', '{""2015"": 71689}', '{""2016"": 68770}', '{""2017"": 67442}', '{""2018"": 67591}', '{""2019"": 68019}', '{""2020"": 56979}', '{""2021"": 68820}', '{""2022"": 69924}']"
818,Jean-Éric,Vergne,French,1990-04-25,"['{""2012"": 3135247}', '{""2013"": 1524590}', '{""2014"": 3667384}']","['{""2012"": 101920.84160305343}', '{""2013"": 100680.41067761807}', '{""2014"": 104036.23124357656}']","['{""2012"": 77875}', '{""2013"": 76790}', '{""2014"": 73317}']"
819,Charles,Pic,French,1990-02-15,"['{""2012"": 3132060}', '{""2013"": 173277}']","['{""2012"": 104612.66698113208}', '{""2013"": 100790.9133126935}']","['{""2012"": 79604}', '{""2013"": 78434}']"
820,Max,Chilton,British,1991-04-21,"['{""2013"": 1525001}', '{""2014"": 3803459}']","['{""2013"": 101989.09156844969}', '{""2014"": 108553.71854734111}']","['{""2013"": 77281}', '{""2014"": 74847}']"
821,Esteban,Gutiérrez,Mexican,1991-08-05,"['{""2013"": 1527110}', '{""2014"": 3681464}', '{""2016"": 2117755}']","['{""2013"": 100634.61328125}', '{""2014"": 103563.2973262032}', '{""2016"": 102481.70346715329}']","['{""2013"": 76528}', '{""2014"": 74036}', '{""2016"": 69694}']"
822,Valtteri,Bottas,Finnish,1989-08-28,"['{""2013"": 1526765}', '{""2014"": 3689718}', '{""2015"": 185741}', '{""2016"": 2118323}', '{""2017"": 1458906}', '{""2018"": 219223}', '{""2019"": 180377}', '{""2020"": 1681176}', '{""2021"": 2229294}', '{""2022"": 3200311}']","['{""2013"": 101224.82897196262}', '{""2014"": 102562.43705035972}', '{""2015"": 96635.8331726133}', '{""2016"": 102008.50927487352}', '{""2017"": 94895.9477739726}', '{""2018"": 93804.24209650583}', '{""2019"": 92094.96674776966}', '{""2020"": 95152.61971830986}', '{""2021"": 95981.80423280424}', '{""2022"": 97916.37235915494}']","['{""2013"": 76840}', '{""2014"": 72581}', '{""2015"": 72248}', '{""2016"": 70210}', '{""2017"": 67847}', '{""2018"": 69044}', '{""2019"": 68565}', '{""2020"": 56563}', '{""2021"": 68374}', '{""2022"": 69266}']"
823,Giedo,van der Garde,Dutch,1985-04-25,"['{""2013"": 1512835}']","['{""2013"": 103390.9119226638}']","['{""2013"": 77590}']"
824,Jules,Bianchi,French,1989-08-03,"['{""2013"": 1612127}', '{""2014"": 3687269}']","['{""2013"": 101764.94589178357}', '{""2014"": 107660.89814814815}']","['{""2013"": 77717}', '{""2014"": 74476}']"
825,Kevin,Magnussen,Danish,1992-10-05,"['{""2014"": 3700135}', '{""2016"": 2118219}', '{""2017"": 1470517}', '{""2018"": 211147}', '{""2019"": 179433}', '{""2020"": 1354973}', '{""2022"": 3197923}']","['{""2014"": 102537.03953279425}', '{""2016"": 102233.5338904364}', '{""2017"": 98603.97208374875}', '{""2018"": 93802.20136518772}', '{""2019"": 93907.28559393428}', '{""2020"": 92268.5945945946}', '{""2022"": 99367.09540636043}']","['{""2014"": 72746}', '{""2016"": 70450}', '{""2017"": 70402}', '{""2018"": 68476}', '{""2019"": 68903}', '{""2020"": 57516}', '{""2022"": 69938}']"
826,Daniil,Kvyat,Russian,1994-04-26,"['{""2014"": 3690660}', '{""2015"": 166963}', '{""2016"": 2116816}', '{""2017"": 200084}', '{""2019"": 178429}', '{""2020"": 1681588}']","['{""2014"": 106435.19978401728}', '{""2015"": 97319.21129503408}', '{""2016"": 104898.01960784313}', '{""2017"": 93581.97802197802}', '{""2019"": 93257.07118927973}', '{""2020"": 95996.70486815416}']","['{""2014"": 74144}', '{""2015"": 72316}', '{""2016"": 76942}', '{""2017"": 68061}', '{""2019"": 69498}', '{""2020"": 57001}']"
827,André,Lotterer,German,1981-11-19,"['{""2014"": 129985}']","['{""2014"": 129985.0}']","['{""2014"": 129985}']"
828,Marcus,Ericsson,Swedish,1990-09-02,"['{""2014"": 3674941}', '{""2015"": 166959}', '{""2016"": 1222582}', '{""2017"": 1463561}', '{""2018"": 216382}']","['{""2014"": 108858.4874301676}', '{""2015"": 96676.90790790791}', '{""2016"": 99455.07351555137}', '{""2017"": 97226.34526112185}', '{""2018"": 94695.69294225481}']","['{""2014"": 74672}', '{""2015"": 72516}', '{""2016"": 70704}', '{""2017"": 69284}', '{""2018"": 68216}']"
829,Will,Stevens,British,1991-06-28,"['{""2014"": 137257}', '{""2015"": 184451}']","['{""2014"": 112030.22222222222}', '{""2015"": 101137.93233944954}']","['{""2014"": 108398}', '{""2015"": 79098}']"
830,Max,Verstappen,Dutch,1997-09-30,"['{""2015"": 257359}', '{""2016"": 2123754}', '{""2017"": 175563}', '{""2018"": 188783}', '{""2019"": 171187}', '{""2020"": 1681901}', '{""2021"": 1772740}', '{""2022"": 3195545}']","['{""2015"": 97788.70341463415}', '{""2016"": 102161.55017006803}', '{""2017"": 92399.42857142857}', '{""2018"": 92339.32386867791}', '{""2019"": 91277.87711864407}', '{""2020"": 96558.79371069183}', '{""2021"": 92551.65565648225}', '{""2022"": 98011.43273013375}']","['{""2015"": 72349}', '{""2016"": 69618}', '{""2017"": 71044}', '{""2018"": 67442}', '{""2019"": 67475}', '{""2020"": 66145}', '{""2021"": 66200}', '{""2022"": 67275}']"
831,Felipe,Nasr,Brazilian,1992-08-21,"['{""2015"": 182021}', '{""2016"": 2122939}']","['{""2015"": 98078.38598130841}', '{""2016"": 105568.43327556326}']","['{""2015"": 73050}', '{""2016"": 70415}']"
832,Carlos,Sainz,Spanish,1994-09-01,"['{""2015"": 347531}', '{""2016"": 2122068}', '{""2017"": 1467412}', '{""2018"": 188524}', '{""2019"": 194682}', '{""2020"": 1685363}', '{""2021"": 2233164}', '{""2022"": 3190972}']","['{""2015"": 100306.7400835073}', '{""2016"": 101027.30849220105}', '{""2017"": 97338.90124858115}', '{""2018"": 94079.46945606694}', '{""2019"": 92573.38481906443}', '{""2020"": 91055.54081632652}', '{""2021"": 96970.0942812983}', '{""2022"": 97186.3601161665}']","['{""2015"": 73234}', '{""2016"": 70138}', '{""2017"": 69150}', '{""2018"": 68766}', '{""2019"": 68117}', '{""2020"": 57165}', '{""2021"": 67762}', '{""2022"": 68649}']"
833,Roberto,Merhi,Spanish,1991-03-22,"['{""2015"": 161334}']","['{""2015"": 100870.10447761194}']","['{""2015"": 74939}']"
834,Alexander,Rossi,American,1991-09-25,"['{""2015"": 177175}']","['{""2015"": 102816.82450331126}']","['{""2015"": 78617}']"
835,Jolyon,Palmer,British,1991-01-20,"['{""2016"": 1223356}', '{""2017"": 201396}']","['{""2016"": 103027.12799167534}', '{""2017"": 94909.77669902913}']","['{""2016"": 70228}', '{""2017"": 68652}']"
