driver_nationality,age_at_first_race,driver_first_place_count,driver_second_place_count,driver_third_place_count,driver_top_5_place_count,constructorName,constructor_nationality,constructor_first_place_count,constructor_second_place_count,constructor_third_place_count,constructor_top_5_place_count,best_performing_circuit_name,min_lap_time_diff,avg_lap_time_diff,max_lap_time_diff,median_lap_position,min_pit_stop_time,avg_pit_time,max_pit_stop_time,most_common_pitstop_lap,most_common_starting_position,most_common_ending_position
Japanese,twenty-three,zero,zero,zero,zero,Caterham,Malaysian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,eleven,50% and more,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-seven,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-five,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-seven,zero,zero,zero,zero,Rial,German,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty,zero,zero,zero,zero,Arrows,British,zero,zero,zero,two,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty-nine,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-nine,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-seven,zero,zero,zero,zero,Rial,German,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-seven,zero,zero,zero,zero,Coloni,Italian,zero,zero,zero,zero,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-nine,zero,zero,zero,zero,AGS,French,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,thirty-four,zero,zero,zero,zero,Euro Brun,Italian,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-nine,zero,zero,zero,zero,AGS,French,zero,zero,zero,zero,Adelaide Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty-seven,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty-five,zero,zero,zero,zero,Williams,British,thirteen,two,two,twenty-four,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-seven,zero,zero,zero,zero,AGS,French,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-seven,zero,zero,zero,zero,Benetton,Italian,zero,zero,zero,two,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,twenty-nine,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-eight,zero,zero,zero,zero,Team Lotus,British,twenty,twelve,six,sixty,Hungaroring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,twenty-eight,zero,zero,zero,zero,Arrows,British,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,thirty,zero,zero,zero,zero,Zakspeed,German,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Canadian,twenty-five,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Detroit Street Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-nine,zero,zero,zero,zero,RAM,British,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-eight,zero,zero,zero,zero,Renault,French,zero,two,four,eleven,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-eight,zero,zero,zero,zero,Spirit,British,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-seven,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-two,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-six,zero,zero,zero,zero,RAM,British,zero,zero,zero,zero,Red Bull Ring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Venezuelan,twenty-seven,zero,zero,zero,zero,Toleman,British,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,thirty,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-two,zero,zero,zero,zero,Brabham,British,zero,four,ten,forty-six,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
New Zealander,nineteen,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-two,Circuit Gilles Villeneuve,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-four,zero,zero,zero,zero,Arrows,British,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,thirty-three,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-two,Circuit de Monaco,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Chilean,twenty-seven,zero,zero,zero,zero,RAM,British,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Colombian,twenty-four,zero,zero,zero,zero,Theodore,Hong Kong,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-five,zero,zero,zero,zero,Ligier,French,zero,two,three,ten,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-five,zero,zero,zero,zero,Ligier,French,zero,two,three,ten,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Canadian,twenty-eight,zero,zero,zero,zero,RAM,British,zero,zero,zero,zero,Circuit Gilles Villeneuve,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-seven,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swedish,thirty-five,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-two,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-four,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-nine,zero,zero,zero,zero,Arrows,British,zero,zero,zero,zero,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Irish,twenty-five,zero,zero,zero,zero,Williams,British,eight,two,zero,fourteen,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,thirty,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Jarama,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-seven,zero,zero,zero,zero,Team Lotus,British,twenty,twelve,zero,fifty-four,Brands Hatch,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Irish,twenty-four,zero,zero,zero,zero,Theodore,Hong Kong,zero,zero,zero,zero,Hockenheimring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-two,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Mexican,twenty-one,zero,zero,zero,zero,Brabham,British,zero,four,eight,thirty-eight,Autodromo Enzo e Dino Ferrari,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-one,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Long Beach,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-four,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-two,Circuit Gilles Villeneuve,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,twenty-eight,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Long Beach,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-nine,zero,zero,zero,zero,Arrows,British,zero,zero,zero,zero,Long Beach,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Argentine,thirty,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,thirty-two,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Colombian,thirty-two,zero,zero,zero,zero,Ensign,British,zero,zero,zero,zero,Autódromo Internacional Nelson Piquet,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,thirty-two,zero,zero,zero,zero,Ligier,French,zero,two,three,ten,Dijon-Prenois,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty,zero,zero,zero,zero,Osella,Italian,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Irish,twenty-seven,zero,zero,zero,zero,Shadow,British,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-eight,zero,zero,zero,zero,McLaren,British,six,two,seventeen,twenty-five,Long Beach,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-nine,zero,zero,zero,zero,Ensign,British,zero,zero,zero,zero,Zolder,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
South African,twenty-seven,zero,zero,zero,zero,Williams,British,six,two,zero,eight,Brands Hatch,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-seven,zero,zero,zero,zero,ATS,Italian,zero,zero,zero,zero,Hockenheimring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty-seven,zero,zero,zero,zero,Alfa Romeo,Swiss,zero,zero,zero,zero,Red Bull Ring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-nine,zero,zero,zero,zero,Merzario,Italian,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-three,zero,zero,zero,zero,ATS,Italian,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-nine,zero,zero,zero,zero,Merzario,Italian,zero,zero,zero,zero,Jarama,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-seven,zero,zero,zero,zero,Ensign,British,zero,zero,zero,zero,Dijon-Prenois,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-eight,zero,zero,zero,zero,Fittipaldi,Brazilian,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,thirty,zero,zero,zero,zero,McLaren,British,six,two,seventeen,twenty-five,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,thirty-five,zero,zero,zero,zero,Ensign,British,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-four,zero,zero,zero,zero,Ensign,British,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty-two,zero,zero,zero,zero,Hesketh,British,zero,zero,zero,five,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-seven,zero,zero,zero,zero,Arrows,British,zero,zero,zero,zero,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty-two,zero,zero,zero,zero,ATS,Italian,zero,zero,zero,zero,Zolder,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty-two,zero,zero,zero,zero,McLaren,British,six,two,seventeen,twenty-five,Brands Hatch,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-eight,zero,zero,zero,zero,ATS,Italian,zero,zero,zero,zero,Red Bull Ring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-eight,zero,zero,zero,zero,ATS,Italian,zero,zero,zero,zero,Circuit Park Zandvoort,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,forty,zero,zero,zero,zero,Surtees,British,zero,zero,zero,six,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-five,zero,zero,zero,zero,Wolf,Canadian,zero,zero,zero,three,Watkins Glen,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-eight,zero,zero,zero,zero,Brabham,British,zero,two,three,thirty-one,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
South African,twenty-seven,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Shadow,British,zero,zero,zero,zero,Nürburgring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-three,zero,zero,zero,zero,Fittipaldi,Brazilian,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-nine,zero,zero,zero,zero,Shadow,British,zero,zero,zero,zero,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swedish,twenty-eight,zero,zero,zero,zero,Team Lotus,British,sixteen,twelve,zero,forty-four,Jarama,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-four,zero,zero,zero,zero,Surtees,British,zero,zero,zero,six,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-seven,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Circuit Park Zandvoort,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-seven,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Jarama,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-eight,zero,zero,zero,zero,LEC,British,zero,zero,zero,zero,Brands Hatch,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swedish,thirty-seven,zero,zero,zero,zero,BRM,British,six,twenty-two,five,fifty-eight,Circuit Park Zandvoort,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,twenty-five,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Zolder,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Shadow,British,zero,zero,zero,zero,Autódromo Hermanos Rodríguez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Finnish,twenty-nine,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Scandinavian Raceway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Silverstone Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty-two,zero,zero,zero,zero,BRM,British,six,twenty-two,five,fifty-eight,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,thirty-two,zero,zero,zero,zero,McGuire,Australian,zero,zero,zero,zero,Silverstone Circuit,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,thirty-one,zero,zero,zero,zero,Surtees,British,zero,zero,zero,six,Nivelles-Baulers,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,thirty-four,zero,zero,zero,zero,Penske,American,zero,zero,zero,two,Hockenheimring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Belgian,thirty-two,zero,zero,zero,zero,BRM,British,six,twenty-two,five,fifty-eight,Hockenheimring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-seven,zero,zero,zero,zero,Hesketh,British,zero,zero,zero,five,Nürburgring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Swiss,twenty-six,zero,zero,zero,zero,Apollon,Swiss,zero,zero,zero,zero,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,thirty-seven,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,twenty-six,Fuji Speedway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-nine,zero,zero,zero,zero,Kojima,Japanese,zero,zero,zero,zero,Fuji Speedway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-five,zero,zero,zero,zero,Kojima,Japanese,zero,zero,zero,zero,Fuji Speedway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty-three,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Autódromo José Carlos Pace,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-eight,zero,zero,zero,zero,Team Lotus,British,sixteen,ten,zero,forty-two,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-nine,zero,zero,zero,zero,Wolf,Canadian,zero,zero,zero,zero,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,thirty-two,zero,zero,zero,zero,Williams,British,zero,zero,zero,zero,Jarama,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-six,zero,zero,zero,zero,Surtees,British,zero,zero,zero,six,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Danish,thirty-two,zero,zero,zero,zero,Brabham-Ford,British,zero,four,zero,four,Scandinavian Raceway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty,zero,zero,zero,zero,Brabham-Ford,British,zero,four,zero,four,Circuit Paul Ricard,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-eight,zero,zero,zero,zero,Shadow,British,zero,zero,zero,zero,Brands Hatch,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,thirty-four,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,twenty-three,Nürburgring,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-nine,zero,zero,zero,zero,Tyrrell,British,three,seven,nine,twenty-three,Autodromo Nazionale di Monza,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-seven,zero,zero,zero,zero,Wolf,Canadian,zero,zero,zero,zero,Watkins Glen,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,thirty-one,zero,zero,zero,zero,Kojima,Japanese,zero,zero,zero,zero,Fuji Speedway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,thirty-four,zero,zero,zero,zero,March,British,zero,zero,seven,fourteen,Mosport International Raceway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-nine,zero,zero,zero,zero,Fittipaldi,Brazilian,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
South African,twenty-seven,zero,zero,zero,zero,Team Lotus,British,sixteen,ten,zero,thirty-eight,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
South African,twenty-nine,zero,zero,zero,zero,Team Lotus,British,sixteen,ten,zero,thirty-eight,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
South African,twenty-nine,zero,zero,zero,zero,McLaren,British,six,zero,eleven,seventeen,Kyalami,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-three,zero,zero,zero,zero,Williams,British,zero,zero,zero,zero,Scandinavian Raceway,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-seven,zero,zero,zero,zero,Ensign,British,zero,zero,zero,zero,Montjuïc,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-eight,zero,zero,zero,zero,Williams,British,zero,zero,zero,zero,Autódromo Juan y Oscar Gálvez,Unknown,Unknown,Unknown,zero,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
